Trump,Size,Biden
247,2851,2579
301,3327,2984
49,779,717
34,472,435
287,2759,2435
34,521,481
87,1263,1159
16,425,405
1,1,0
72,1377,1287
28,638,603
37,517,468
56,994,928
67,886,808
666,3695,2975
88,450,354
168,1431,1242
138,1324,1175
478,3724,3200
143,1622,1463
280,2409,2092
65,504,432
349,2916,2523
163,1608,1412
135,1073,924
668,4168,3440
115,847,724
222,1546,1314
43,502,450
104,655,544
41,825,777
16,232,213
27,766,728
29,463,433
71,1110,1024
242,1503,1253
14,289,272
33,423,388
89,664,559
16,224,206
88,553,455
48,933,870
313,2471,2118
0,7,7
20,428,408
44,836,781
20,609,580
33,798,758
1,52,51
33,857,812
114,1275,1145
19,411,388
71,849,769
9,196,183
67,1352,1273
60,995,929
15,346,328
48,1260,1198
40,690,643
69,1371,1288
2,228,225
61,1101,1035
30,420,380
208,2212,1973
217,2428,2185
68,1131,1055
5,44,38
6,93,85
13,143,130
48,482,422
119,1238,1097
224,1470,1231
897,5354,4397
299,1494,1178
108,498,380
269,1628,1337
306,2066,1726
65,429,355
329,2515,2142
329,2253,1894
162,800,628
159,578,410
351,1180,808
22,348,324
261,1366,1092
2030,5437,3341
1280,2463,1154
1266,3237,1945
1211,3269,2020
510,1724,1192
1054,2879,1790
621,1658,1025
707,2272,1537
452,1511,1039
228,1324,1081
1070,2402,1306
1298,2790,1444
691,1202,506
517,889,363
1079,2185,1085
956,1868,891
737,2033,1265
971,2082,1099
955,2632,1630
247,836,570
914,3295,2310
942,1802,839
318,671,338
452,1219,756
186,1149,946
595,2756,2098
7,184,175
67,1689,1601
48,1006,949
123,1658,1514
1029,2987,1917
538,2818,2228
75,713,624
35,605,563
87,1712,1598
32,489,453
279,1904,1591
72,1810,1724
96,2707,2592
52,1216,1153
121,2262,2117
31,602,569
31,677,638
38,888,844
8,281,269
50,1139,1083
10,274,264
24,509,479
47,1032,972
70,1622,1531
31,755,720
22,412,385
77,2645,2557
24,417,392
53,2164,2095
37,730,688
24,608,581
64,2065,1988
51,1016,957
26,403,372
36,1114,1068
53,1224,1158
31,1070,1037
39,782,733
70,1522,1440
39,1135,1088
37,854,809
179,2878,2663
20,402,371
30,625,586
64,738,671
29,531,496
25,456,431
32,384,346
43,1443,1389
22,519,491
78,1420,1327
105,1641,1512
18,287,268
69,1397,1312
18,425,402
40,1045,996
1864,4109,2195
400,907,486
879,1894,978
278,689,392
1266,2595,1291
778,1796,1000
203,489,280
101,430,325
764,1452,658
205,403,193
1857,3822,1927
888,1602,694
1370,2871,1464
755,1534,768
1508,3486,1933
238,706,453
476,833,343
185,511,320
201,616,406
955,1761,792
1161,2616,1419
61,215,150
151,250,96
208,309,98
321,673,345
240,333,90
143,771,610
143,943,786
64,258,188
80,679,586
2,4,2
3,19,16
43,971,921
5,77,72
14,234,214
1,4,3
1,73,71
11,241,225
1,42,41
3,64,61
7,114,106
0,37,36
0,0,0
6,184,177
168,1650,1462
146,1755,1591
70,1114,1042
154,1149,982
48,314,261
12,246,233
52,763,697
178,2876,2674
61,1088,1020
104,2675,2550
57,1555,1490
16,458,441
300,2541,2223
345,3455,3087
32,486,445
16,176,159
10,186,175
14,60,46
1,17,16
556,2204,1622
1197,3462,2238
376,1044,664
897,2220,1306
198,486,283
445,1243,777
1070,2612,1522
80,230,149
361,978,596
700,1783,1054
967,2084,1094
1403,3586,2145
1013,2308,1267
947,2404,1426
725,1998,1246
1364,2711,1314
1328,2261,907
1067,1848,768
156,235,76
1040,2103,1042
266,706,430
976,2111,1108
1151,2331,1146
1362,3215,1794
1236,2352,1078
346,559,206
1397,2104,679
960,1554,568
1902,3051,1114
146,211,64
1576,2680,1075
1794,3695,1869
446,1403,939
774,2233,1431
411,655,235
841,1332,476
180,376,189
411,1830,1393
2276,4254,1928
1523,3330,1737
1347,3429,2038
650,1553,883
615,1863,1220
934,2312,1335
145,914,754
74,286,203
1008,1857,823
2229,3922,1641
802,1312,491
1599,3001,1347
900,2080,1154
1849,3621,1723
818,1564,724
1329,2969,1583
856,1685,804
765,2169,1351
950,1781,801
1045,2193,1119
1420,2647,1186
1100,3190,2040
3,53,50
49,1613,1557
60,1670,1599
33,1069,1031
208,742,527
16,477,458
93,2552,2443
80,1918,1829
74,476,399
365,3419,3028
1,13,11
48,1118,1060
124,2586,2442
0,71,71
11,361,345
17,439,413
14,438,420
0,3,3
0,0,0
46,998,943
46,1259,1202
54,1064,998
49,822,768
44,1009,960
51,1018,959
115,2030,1904
32,512,474
176,3243,3049
40,1589,1546
108,3725,3600
1,44,43
1,5,4
45,785,732
13,396,380
24,681,654
72,1584,1507
7,142,134
37,831,786
55,2033,1964
62,1283,1212
176,2745,2537
90,2192,2085
22,358,334
68,1542,1467
62,1414,1342
74,1866,1776
7,122,114
22,603,575
2038,3896,1807
331,915,564
231,929,684
473,1234,741
895,2730,1799
692,1580,864
625,1417,776
471,1006,527
195,569,370
230,539,299
381,1318,911
252,563,308
152,504,345
310,1043,717
1273,2607,1300
1399,2969,1545
936,2768,1785
235,900,655
33,199,161
145,325,172
942,2264,1302
653,1530,855
368,923,541
665,1177,500
238,1529,1273
344,1126,756
833,1770,905
1253,2748,1471
247,551,297
99,200,100
494,2064,1530
443,1693,1222
449,1531,1059
691,1792,1082
382,2214,1791
729,2070,1316
504,1299,777
120,1997,1859
13,231,216
0,0,0
19,395,374
181,3849,3648
5,20,15
119,1629,1493
265,1505,1223
37,270,230
